gene_id,MC10-IP,MC10-Input,MC21-IP,MC21-Input,MC22-IP,MC22-Input,MC9-IP,MC9-Input,Petro11-IP,Petro11-Input,Petro12-IP,Petro12-Input,Petro23-IP,Petro23-Input,Petro24-IP,Petro24-Input
MSTRG.1497,1,196,1,48,1009,86,1,199,1,131,60,270,1,185,1,75
MSTRG.35376,1,167,1,130,3,185,134,170,1,102,1,405,1,347,98,156
MSTRG.12882,1,104,1,96,594,151,1,173,1,37,93,193,1,98,1,37
MSTRG.15203,1,87,1,137,1,118,83,77,1,102,1,473,1,225,102,145
MSTRG.18141,987,11,1,48,1,19,1,75,1,29,1,8,1,2,1,19
MSTRG.1383,249,234,9,378,43,140,2,316,19,174,244,890,55,270,4,191
MSTRG.30866,1,897,1304,721,1,661,1,780,1,444,1,776,1,1117,152,438
MSTRG.24538,1,1,562,1,1,8,1,1,141,1,1,1,1,1,1,1
MSTRG.1178,352,239,1,297,1,296,1,279,1,159,455,553,1,533,1,278
MSTRG.1235,1,74,1,34,161,64,1,68,1,177,533,598,1,545,1,188
MSTRG.38423,570,253,1,248,1,205,1,253,1,142,150,380,1,224,1,159
MSTRG.18331,1,78,1,1,1,12,1,2,285,1,1,28,1,14,1,3
MSTRG.23750,1,383,362,171,3,241,1,285,71,114,1,272,1,151,1,79
MSTRG.46302,1,355,1,149,611,261,1,583,1,229,54,694,1,443,1,296
MSTRG.1153,1,38,1,3,1,176,2,25,33,130,1,327,2,278,175,146
MSTRG.36896,1,402,1,350,429,600,1,518,55,626,572,1341,1814,1269,137,655
MSTRG.29731,51,72,1,37,38,40,1,40,1,51,53,74,1,160,1,75
MSTRG.24398,1,1,1,1,618,1,1,59,1,71,1,1,1,67,1,71
MSTRG.8313,1,65,2,39,758,73,1,80,1,104,21,32,1,106,1,66
MSTRG.23833,1,190,870,98,4,63,1,141,10,76,2,232,1,167,40,82
MSTRG.35274,1,186,1,169,421,315,1,221,1,184,79,406,1,398,1,261
MSTRG.25997,1,90,1,62,1693,119,1,50,1,25,1,71,538,66,1,35
MSTRG.21492,251,288,1,232,1,229,3,187,3,155,225,431,23,226,1,131
MSTRG.37000,1,130,1,35,1,128,1,140,472,91,1,197,1,67,314,63
MSTRG.23090,1,170,1754,186,4,133,1,151,109,187,1,380,1,131,1,138
MSTRG.16127,1,280,1,184,711,269,1,236,1,242,44,648,1,238,1,262
MSTRG.34007,1,72,1,1,1,61,1,1,1,71,1,162,1,208,192,67
MSTRG.19345,1,93,1,28,1,120,1,98,469,97,1,277,1,104,116,72
MSTRG.43757,1,57,279,110,3,59,1,43,269,37,1,122,1,124,1,201
MSTRG.31005,1,126,274,62,1,311,1,104,1,208,1,942,1,875,128,574
MSTRG.37997,1,261,1,201,1,326,1,431,1,391,209,655,1618,357,1,271
MSTRG.15983,1,66,1,1,1,25,1,1,342,47,1,138,1,31,1,39
MSTRG.14669,1,124,184,148,4,80,1,45,1,66,1,386,1,402,155,255
MSTRG.29311,1,323,2467,371,1,216,1,263,269,167,11,226,1,251,1,148
MSTRG.8301,1,202,569,199,1,114,1,118,1,154,1,518,1,238,82,188
MSTRG.32061,49,19,1,7,336,12,1,9,3,3,62,29,67,18,7,3
MSTRG.32287,1,754,1,458,1,818,569,588,361,1079,72,2047,1,1458,110,448
MSTRG.45707,1,38,1,89,1,52,475,158,1,75,1,141,1,107,124,53
MSTRG.40589,1,100,1,151,40,48,1,111,2,103,363,178,1,267,1,91
MSTRG.9845,1,208,226,99,1,125,1,113,58,159,1,319,1,105,1,135
MSTRG.13108,1,18,1,27,1,29,214,35,1,37,1,55,1,108,58,38
MSTRG.18681,1,166,761,51,5,119,1,160,1,121,1,404,1,285,280,219
MSTRG.10669,1,357,538,172,1,203,6,317,1,193,1,525,1,204,33,154
MSTRG.41650,1,50,643,19,1,50,1,53,1,76,1,206,1,124,80,118
MSTRG.31003,1,213,3,306,647,249,1,256,1,359,162,703,728,304,58,458
MSTRG.45677,1,208,1,26,1,146,84,502,650,399,1,647,1,450,1,174
MSTRG.24908,1,13,1,1,287,17,1,12,1,7,145,6,1,10,1,9
MSTRG.26832,698,302,37,344,2683,586,1,295,1150,1118,1472,2864,3560,3362,789,1655
MSTRG.11095,453,734,9,535,782,1246,1,259,568,2720,243,8746,7315,15600,611,6505
MSTRG.39815,537,137,1,202,601,102,1,83,1,57,98,170,1,62,41,116
MSTRG.31613,1,440,1,175,1,328,325,247,1,338,1,815,1,496,31,422
MSTRG.41483,1,79,498,92,1,40,1,36,1,68,1,185,1,214,64,90
MSTRG.6674,1,2198,173,150,25,1640,860,91,104,875,218,2193,14,1672,144,770
MSTRG.50937,1,14,18,22,1,75,34,13,8,25,17,254,10,884,8,1
MSTRG.47231,1,260,69,123,29,272,130,198,336,261,1,381,3,383,29,183
MSTRG.40229,1,200,5,205,574,153,1,166,1,172,98,390,1569,306,29,187
MSTRG.3471,1,138,1,66,1766,189,1,132,1,89,1,172,158,339,1,175
MSTRG.36725,1,79,348,62,1,30,1,57,147,81,1,73,1,70,1,106
MSTRG.3538,1,625,24,522,680,499,4,629,2,490,157,1133,165,640,1,372
MSTRG.3130,1,380,3,469,380,315,1,385,1,148,104,409,1,273,1,172
MSTRG.27794,1,474,1,196,1,514,111,178,1,215,1,434,1,262,55,267
MSTRG.11180,1,153,1,47,1,80,1,29,279,36,1,101,1,98,31,17
MSTRG.28714,1,92,1,12,607,63,1,61,1,65,1,171,340,87,1,69
MSTRG.36167,1,72,284,69,2,118,1,67,26,59,1,185,1,65,1,41
MSTRG.6391,1,446,1037,309,1,534,1,235,1260,1026,236,2850,1,2434,515,1217
MSTRG.35653,1,289,154,315,1,349,1,339,187,382,1,890,1,362,1,352
MSTRG.13899,1,261,64,333,1,268,1,188,541,200,1,634,1,231,1,352
MSTRG.13035,1,134,1077,260,1,196,1,244,204,150,1,37,1,293,1,142
MSTRG.26989,1,127,1,159,143,131,1,211,1,61,1,203,429,142,1,145
MSTRG.23567,1,122,1,119,1,111,143,163,341,99,1,110,1,156,1,62
MSTRG.26005,1,53,1,31,273,74,1,61,1,124,74,196,1,359,1,194
MSTRG.24460,1,412,1,238,831,240,1,378,5,278,112,503,1,362,1,179
MSTRG.36213,1,75,264,147,1,144,1,123,57,73,1,312,1,108,1,132
MSTRG.16201,1,469,4091,95,7,422,110,400,586,449,957,1016,1191,1057,498,720
