gene_id,MC10-IP,MC10-Input,MC21-IP,MC21-Input,MC22-IP,MC22-Input,MC9-IP,MC9-Input,Petro11-IP,Petro11-Input,Petro12-IP,Petro12-Input,Petro23-IP,Petro23-Input,Petro24-IP,Petro24-Input
MSTRG.27440,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.27447,1,1,1,1,1,1,1,1,1,1,1,1,1,12,1,1
gene30480,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.27445,2,1672,86,569,136,1028,2,705,870,559,189,945,1474,799,8,610
MSTRG.27444,1,223,118,118,1,261,286,187,1,256,1,419,708,535,121,243
MSTRG.27449,1,1,1,1,1,8,1,3,1,3,78,4,1,2,1,3
MSTRG.27448,2,87,1,45,1,43,1,111,1,96,6,135,1,55,1,67
MSTRG.1550,1,81,1,30,1,36,1,42,1,16,1,213,1,52,2,48
MSTRG.24626,1,83,707,18,5,33,1,85,2,31,3,98,1,25,1,25
MSTRG.24627,966,56,1,4,1,38,1,68,1,17,1,21,1,13,1,7
MSTRG.24624,1,1,1,1,1,1,108,1,1,1,1,1,1,1,1,1
MSTRG.24625,1,1,1,1,1,4,1,6,204,4,1,36,1,1,1,1
MSTRG.24622,1,193,254,210,38,120,2,163,64,72,98,221,1,153,35,155
MSTRG.24623,1,2,1,20,1,2,1,1,1,1,1,1,1,1,1,1
MSTRG.24620,3,98,1,123,1,144,1,93,1,60,1,114,1,100,22,70
MSTRG.24621,1,17,1,1,1,1,1,9,1,2,1,7,1,1,1,2
MSTRG.1556,1,1,1,15,1,1,1,5,1,1,1,1,1,1,1,5
MSTRG.24628,2,79,285,3,4,21,1,18,1,6,1,28,1,30,1,26
MSTRG.24629,1,1,1,23,1,1,1,10,1,1,1,1,1,1,1,1
MSTRG.25975,1,1,1,1,1,1,1,40,1,7,1,1,1,1,1,1
MSTRG.25974,1,340,828,403,400,666,1,275,22,754,1688,1442,1057,2353,383,996
MSTRG.25977,1,1,1,17,1,1,1,2,1,1,1,1,1,1,1,1
MSTRG.25976,1,145,4,31,1,104,1,196,519,81,1,223,1,59,1,79
MSTRG.25971,1,55,1,13,1,40,1,101,1,114,1,259,1,411,70,202
MSTRG.25970,1,2,1,2,1,1,1,9,1,1,1,1,1,1,1,1
MSTRG.25973,1,3,24,3,3,5,1,1,1,1,1,2,1,14,1,1
MSTRG.25972,1,1249,2991,975,579,1185,1,897,218,1016,100,1964,3,1093,180,841
MSTRG.1555,1,1,1,1,1,3,1,1,1,3,1,9,1,1,1,1
MSTRG.25979,1,1,1,1,1,9,1,1,1,1,1,53,1,4,1,5
MSTRG.25978,1,13,1,1,1,2,1,1,1,1,1,1,1,1,1,1
gene15752,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.46601,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3
MSTRG.46602,1,1,1,26,1,1,1,1,1,2,1,1,1,1,1,1
MSTRG.46603,1,1,1,1,1,1,1,23,1,1,1,1,1,1,1,1
MSTRG.46604,1,1,1,1,82,1,1,7,1,1,1,1,1,1,1,1
MSTRG.46605,1,3,1,23,1,1,1,1,1,1,1,3,1,1,1,1
MSTRG.46606,1,1,114,1,1,10,1,1,1,22,1,12,1,21,1,16
gene15755,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.46608,1,11,217,1,1,1,1,1,2,5,1,1,1,1,1,1
MSTRG.46609,1,14,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gene15758,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gene15759,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.1558,1,21,1,1,1,1,1,8,1,1,1,1,1,1,1,3
MSTRG.27195,1,13,1,1,1,2,1,3,1,6,1,1,1,1,1,3
gene30486,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.27197,1,41,1,1,1,48,1,1,1,5,1,54,1,67,1,1
MSTRG.1559,1,10,1,27,1,17,1,7,170,40,98,120,1,270,103,140
MSTRG.27191,1,132,182,124,900,332,1,193,714,396,451,712,278,1349,345,707
MSTRG.27190,1,1,1,101,1,20,1,22,1,17,1,38,1,38,1,1
MSTRG.27193,1,199,3,299,1,165,1,296,1,311,324,480,618,351,252,269
MSTRG.14585,1,21,1,1,1,34,1,15,1,3,1,1,1,1,1,4
gene14605,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MSTRG.50971,1,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1
MSTRG.27199,1,1,1,1,1,8,1,15,1,1,1,1,1,16,1,1
MSTRG.27198,1,2,1,1,1,3,1,1,1,7,1,75,1,14,1,8
MSTRG.10006,1,1,1,15,1,1,1,1,1,5,1,1,1,1,1,1
MSTRG.14580,1,1,1,1,1,1,1,1,1,9,1,5,1,1,1,5
MSTRG.14581,12,391,26,495,221,443,11,460,6,316,8,675,155,799,80,457
gene15288,1,1,1,1,1,1,1,1,1,14,1,1,1,1,1,4
MSTRG.51091,1,17,1,23,1,1,1,8,1,1,1,1,1,1,1,1
MSTRG.10003,1,1,1,1,20,1,1,1,1,3,1,1,1,1,1,1
gene6552,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36
gene15280,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
gene15281,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
